Question,Table_description ,label
"In distance education, which subjects are expected to have the highest enrollment rates?",This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
How many subjects offer bachelor's degree programs that can be completed entirely via distance education?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
How many subjects offer bachelor's degree programs that can be completed entirely via distance education?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
How many subjects offer bachelor's degree programs that can be completed entirely via distance education?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
How many subjects offer bachelor's degree programs that can be completed entirely via distance education?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
How many subjects offer bachelor's degree programs that can be completed entirely via distance education?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
How many subjects offer bachelor's degree programs that can be completed entirely via distance education?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
Which institution offers the most diverse range of programs ?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Which institution offers the most diverse range of programs ?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
Which institution offers the most diverse range of programs ?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
Which institution offers the most diverse range of programs ?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
Which institution offers the most diverse range of programs ?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,0
Which institution offers the most diverse range of programs ?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
How many colleges offer professional practice doctoral degrees?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
How many colleges offer professional practice doctoral degrees?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
How many colleges offer professional practice doctoral degrees?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
How many colleges offer professional practice doctoral degrees?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
How many colleges offer professional practice doctoral degrees?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
How many colleges offer professional practice doctoral degrees?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
Does the computer science offer any short-term (less than 12 weeks) certificate courses through distance education?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Does the computer science offer any short-term (less than 12 weeks) certificate courses through distance education?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
Does the computer science offer any short-term (less than 12 weeks) certificate courses through distance education?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
Does the computer science offer any short-term (less than 12 weeks) certificate courses through distance education?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
Does the computer science offer any short-term (less than 12 weeks) certificate courses through distance education?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
Does the computer science offer any short-term (less than 12 weeks) certificate courses through distance education?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
Does the computer science offer two-year certificate courses that can be completed entirely via distance education?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Does the computer science offer two-year certificate courses that can be completed entirely via distance education?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
Does the computer science offer two-year certificate courses that can be completed entirely via distance education?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
Does the computer science offer two-year certificate courses that can be completed entirely via distance education?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
Does the computer science offer two-year certificate courses that can be completed entirely via distance education?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,0
Does the computer science offer two-year certificate courses that can be completed entirely via distance education?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
Can you tell me the number of institutions that offer certificates of 2 years but less than 4 years?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Can you tell me the number of institutions that offer certificates of 2 years but less than 4 years?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
Can you tell me the number of institutions that offer certificates of 2 years but less than 4 years?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
Can you tell me the number of institutions that offer certificates of 2 years but less than 4 years?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
Can you tell me the number of institutions that offer certificates of 2 years but less than 4 years?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
Can you tell me the number of institutions that offer certificates of 2 years but less than 4 years?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
How many different programs are available in 'Health Professions and Related Programs'?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
How many different programs are available in 'Health Professions and Related Programs'?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
How many different programs are available in 'Health Professions and Related Programs'?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
How many different programs are available in 'Health Professions and Related Programs'?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
How many different programs are available in 'Health Professions and Related Programs'?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,0
How many different programs are available in 'Health Professions and Related Programs'?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
What is the unique identification number of institutions located in New York?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
What is the unique identification number of institutions located in New York?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
What is the unique identification number of institutions located in New York?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
What is the unique identification number of institutions located in New York?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
What is the unique identification number of institutions located in New York?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
What is the unique identification number of institutions located in New York?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
How many institutions offer doctoral degrees in California?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
How many institutions offer doctoral degrees in California?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
How many institutions offer doctoral degrees in California?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
How many institutions offer doctoral degrees in California?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
How many institutions offer doctoral degrees in California?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,0
How many institutions offer doctoral degrees in California?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
What are the names of institutions classified as Historically Black Colleges or Universities?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
What are the names of institutions classified as Historically Black Colleges or Universities?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
What are the names of institutions classified as Historically Black Colleges or Universities?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
What are the names of institutions classified as Historically Black Colleges or Universities?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
What are the names of institutions classified as Historically Black Colleges or Universities?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,0
What are the names of institutions classified as Historically Black Colleges or Universities?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
How many insititutions offer post-master's certificates?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
How many insititutions offer post-master's certificates?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
How many insititutions offer post-master's certificates?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
How many insititutions offer post-master's certificates?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
How many insititutions offer post-master's certificates?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
How many insititutions offer post-master's certificates?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
What is the average number of months to complete the largest program offered by institutions in Texas?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
What is the average number of months to complete the largest program offered by institutions in Texas?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
What is the average number of months to complete the largest program offered by institutions in Texas?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
What is the average number of months to complete the largest program offered by institutions in Texas?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
What is the average number of months to complete the largest program offered by institutions in Texas?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
What is the average number of months to complete the largest program offered by institutions in Texas?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
List all institutions that provide Postbaccalaureate certificate,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
List all institutions that provide Postbaccalaureate certificate,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
List all institutions that provide Postbaccalaureate certificate,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
List all institutions that provide Postbaccalaureate certificate,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
List all institutions that provide Postbaccalaureate certificate,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
List all institutions that provide Postbaccalaureate certificate,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
List 5 institutions with lowest acceptance rate,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
List 5 institutions with lowest acceptance rate,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
List 5 institutions with lowest acceptance rate,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
List 5 institutions with lowest acceptance rate,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
List 5 institutions with lowest acceptance rate,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
List 5 institutions with lowest acceptance rate,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
Which institutions offer a Doctor's degree in professional practice?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Which institutions offer a Doctor's degree in professional practice?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
Which institutions offer a Doctor's degree in professional practice?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
Which institutions offer a Doctor's degree in professional practice?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
Which institutions offer a Doctor's degree in professional practice?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,0
Which institutions offer a Doctor's degree in professional practice?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
How many institutions have an undergraduate application fee listed?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
How many institutions have an undergraduate application fee listed?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
